sample,fastq_1,fastq_2,strandedness,replicate,group,cellLine,drug
318-Control_A1,input/data/A1/A1_1.fq.gz,input/data/A1/A1_2.fq.gz,auto,A1,318-Control,318,Control
318-Control_A2,input/data/A2/A2_1.fq.gz,input/data/A2/A2_2.fq.gz,auto,A2,318-Control,318,Control
318-Control_A3,input/data/A3/A3_1.fq.gz,input/data/A3/A3_2.fq.gz,auto,A3,318-Control,318,Control
318-128-10_B1,input/data/B1/B1_1.fq.gz,input/data/B1/B1_2.fq.gz,auto,B1,318-128-10,318,128-10
318-128-10_B2,input/data/B2/B2_1.fq.gz,input/data/B2/B2_2.fq.gz,auto,B2,318-128-10,318,128-10
318-128-10_B3,input/data/B3/B3_1.fq.gz,input/data/B3/B3_2.fq.gz,auto,B3,318-128-10,318,128-10
318-130_C1,input/data/C1/C1_1.fq.gz,input/data/C1/C1_2.fq.gz,auto,C1,318-130,318,130
318-130_C2,input/data/C2/C2_1.fq.gz,input/data/C2/C2_2.fq.gz,auto,C2,318-130,318,130
318-130_C3,input/data/C3/C3_1.fq.gz,input/data/C3/C3_2.fq.gz,auto,C3,318-130,318,130
318-128-13_D1,input/data/D1/D1_1.fq.gz,input/data/D1/D1_2.fq.gz,auto,D1,318-128-13,318,128-13
318-128-13_D2,input/data/D2/D2_1.fq.gz,input/data/D2/D2_2.fq.gz,auto,D2,318-128-13,318,128-13
318-128-13_D3,input/data/D3/D3_1.fq.gz,input/data/D3/D3_2.fq.gz,auto,D3,318-128-13,318,128-13
358-Control_E1,input/data/E1/E1_1.fq.gz,input/data/E1/E1_2.fq.gz,auto,E1,358-Control,358,Control
358-Control_E2,input/data/E2/E2_1.fq.gz,input/data/E2/E2_2.fq.gz,auto,E2,358-Control,358,Control
358-Control_E3,input/data/E3/E3_1.fq.gz,input/data/E3/E3_2.fq.gz,auto,E3,358-Control,358,Control
358-128-10_F1,input/data/F1/F1_1.fq.gz,input/data/F1/F1_2.fq.gz,auto,F1,358-128-10,358,128-10
358-128-10_F2,input/data/F2/F2_1.fq.gz,input/data/F2/F2_2.fq.gz,auto,F2,358-128-10,358,128-10
358-128-10_F3,input/data/F3/F3_1.fq.gz,input/data/F3/F3_2.fq.gz,auto,F3,358-128-10,358,128-10
358-130_G1,input/data/G1/G1_1.fq.gz,input/data/G1/G1_2.fq.gz,auto,G1,358-130,358,130
358-130_G2,input/data/G2/G2_1.fq.gz,input/data/G2/G2_2.fq.gz,auto,G2,358-130,358,130
358-130_G3,input/data/G3/G3_1.fq.gz,input/data/G3/G3_2.fq.gz,auto,G3,358-130,358,130
358-128-13_H1,input/data/H1/H1_1.fq.gz,input/data/H1/H1_2.fq.gz,auto,H1,358-128-13,358,128-13
358-128-13_H2,input/data/H2/H2_1.fq.gz,input/data/H2/H2_2.fq.gz,auto,H2,358-128-13,358,128-13
358-128-13_H3,input/data/H3/H3_1.fq.gz,input/data/H3/H3_2.fq.gz,auto,H3,358-128-13,358,128-13
