"","318-Control_A1","318-Control_A2","318-Control_A3","318-128-10_B1","318-128-10_B2","318-128-10_B3","318-130_C1","318-130_C2","318-130_C3","318-128-13_D1","318-128-13_D2","318-128-13_D3","358-Control_E1","358-Control_E2","358-Control_E3","358-128-10_F1","358-128-10_F2","358-128-10_F3","358-130_G1","358-130_G2","358-130_G3","358-128-13_H1","358-128-13_H2","358-128-13_H3"
"aDC",2.18451974177214e-19,0.0121882284363904,1.11775293916803e-19,0.00133250135956543,0.00564377642916164,0.00023280610440029,0.0150064724088386,1.31595323340091e-19,0.000554937024653489,0.0020861242040632,0.0158692450766855,0.00973194795979643,6.46739513305835e-20,0,0.00684352443519586,0,0.00725780884591689,5.01393723610282e-20,0,0.00235950670341853,0.015720853710394,0.00592646858137519,0.00886826293685974,0
"Adipocytes",5.10667402082215e-21,0,4.22055284524441e-20,0,1.33774375720446e-19,0,0,0,0,2.22664373739795e-20,1.60623834335176e-19,1.41229364367189e-19,0,0,0,0,0,0,4.12249509552917e-20,2.84875361356671e-19,0,8.33850724555032e-20,0,8.42978508255315e-20
"Astrocytes",0,2.40218815484832e-18,0,1.65425830304638e-18,1.22457695787342e-18,0,1.4684060054232e-18,1.52618513033764e-18,4.79536346454537e-19,0,0,0,0,0,1.04545437419659e-18,4.21513305197346e-18,1.60598489416883e-18,2.39747634688603e-18,2.68997703649284e-19,8.11219965140354e-19,2.2270738580828e-18,3.39462283307458e-19,5.68778576348866e-19,0
"B-cells",0,0,0,7.77909605171265e-20,0,3.07298802592367e-19,0,2.00939665100956e-19,0,0,1.38997790064566e-19,1.3831154409944e-19,0.00092941781814022,0.00137528844206556,0.000883182636344212,0.00170174163293617,0.000724544461547302,0.00163961957437678,0.00249512354346333,0.00101514835831486,0.000738032787472467,0.0002561612847948,0.00116510439661701,0.00172968338037865
"Basophils",0.0021573940626641,0.00052037855514973,0.00145554437197155,0.00604100999413424,0.00506757932483988,0.000970980198701178,0.00112600633903982,0.0039053544330697,0,0.00121492460838605,3.2520105347484e-19,0.00219548568327266,0.010328037432674,0.00456797183605098,0.0123547250243151,0.0100900481998694,0.00976588960055787,0.0129161479597002,0.00287484951491457,0.011172744598897,0.00707636159328565,0.00276003010919537,0.0214581845478674,0.0054983631912809
"CD4+ memory T-cells",0,0,1.84060992564258e-20,0,1.7520170997725e-19,0,2.96327449750805e-20,0,0,0,7.4734281474639e-20,0,0,2.91431055458763e-21,3.34484296379906e-20,1.34093315078182e-20,1.21374898840977e-20,1.05148868441941e-19,2.31627801728023e-20,0,0,5.14041579299134e-20,7.58201922152685e-20,0
"CD4+ naive T-cells",0,1.67210166603706e-19,0,4.63628663347474e-19,5.13237333498969e-19,0,0,0,0,5.1926721797823e-19,1.84245266010289e-18,0,0,3.39056629403514e-19,8.83527104106582e-19,3.63925804964805e-18,2.09968367647525e-18,0,3.52961084860641e-18,4.32762202718086e-19,2.76531096437814e-19,0,2.75870055222727e-18,3.9016503695019e-18
"CD4+ T-cells",5.31764658577161e-19,0,0,0,0,0,0,0,2.98262825572533e-19,1.13405130262675e-19,2.46817823956564e-19,0,0,1.01210457941922e-19,0,0,0,0,3.4521450774413e-21,0,0,1.03682105885477e-21,0,0
"CD4+ Tcm",0.00081520348208767,1.19399467654066e-19,2.52282106018845e-20,0.00467736203569722,0.00109799040760114,0.00363582505893081,0.00161366484267902,0.00274097112922224,0.000977479903007812,0.00255796713162403,0.00465599370977585,0.00441945274895617,0.00446987483141567,0.00195067600577263,0.00207615450005875,0.00516936131907782,0.00796681675656803,0.00197852208844578,0.00424424403151052,0.002287688999313,0.00742026138711203,0.00727969162326279,0.00428785414346224,0.00602738605430184
"CD4+ Tem",1.7122642599905e-19,2.28975723076016e-19,0,0.00163131058018132,1.11429130836888e-19,0.0064284345685218,0.00784905494732781,0.00545254182779608,0.00906560122590615,0.0155264388126082,0.00196783055637399,0.0109205434984539,0.00517055972674356,0.00681783835495891,0.00599761660288459,0.0125716748285431,0.00951177758442007,0.0145132224512065,0.0168948841420173,0.015996562716532,0.0127717757698798,0.0119169263532345,0.0109077505035296,0.0197825575218256
